PROIZVOD,SASTOJAK,KATEGORIJA,KOLICINA,JM,CIJENA,UKUPNO,NEW_KATEGORIJA,OLD_KATEGORIJA
,Fries Bucket KFC,AMBALAŽA,5.0,KOM,0.19,0.95,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,1.48475,KG,2.58,3.830655,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0091,KG,1.38,0.012558,ZAČINI,OSTALO
,,,,,,25.22917229999999,OSTALO,
,CESAR DRESING KFC,OSTALO,1.0,KOM,0.63,0.63,SIDES/DODACI,OSTALO
,SALAD BOWL 750ML,POVRĆE,1.0,KOM,0.2,0.2,SIDES/DODACI,POVRĆE
,"Croutons 0,5 kg KFC",OSTALO,0.01,KG,11.39,0.1139,SIDES/DODACI,OSTALO
,,,,,,3.0628235,OSTALO,
,CESAR DRESING KFC,OSTALO,1.0,KOM,0.63,0.63,SIDES/DODACI,OSTALO
,SALAD BOWL 750ML,POVRĆE,1.0,KOM,0.2,0.2,SIDES/DODACI,POVRĆE
,"Croutons 0,5 kg KFC",OSTALO,0.01,KG,11.39,0.1139,SIDES/DODACI,OSTALO
,,,,,,3.091526,OSTALO,
,,,,,,2.06449,OSTALO,
,,,,,,2.20519,OSTALO,
,,,,,,2.16811,OSTALO,
,,,,,,2.30881,OSTALO,
,CESAR DRESING KFC,OSTALO,1.0,KOM,0.63,0.63,SIDES/DODACI,OSTALO
,SALAD BOWL 750ML,POVRĆE,1.0,KOM,0.2,0.2,SIDES/DODACI,POVRĆE
,"Croutons 0,5 kg KFC",OSTALO,0.01,KG,11.39,0.1139,SIDES/DODACI,OSTALO
,,,,,,3.0628235,OSTALO,
,CESAR DRESING KFC,OSTALO,1.0,KOM,0.63,0.63,SIDES/DODACI,OSTALO
,SALAD BOWL 750ML,POVRĆE,1.0,KOM,0.2,0.2,SIDES/DODACI,POVRĆE
,"Croutons 0,5 kg KFC",OSTALO,0.01,KG,11.39,0.1139,SIDES/DODACI,OSTALO
,,,,,,3.091526,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
W/ KENTUCKY GOLD SAUCE,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,Wooden sticks KFC,OSTALO,1.0,KOM,0.0,0.0,AMBALAŽA,OSTALO
,,,,,,2.38125,OSTALO,
,,,,,,,OSTALO,
"OLIMPIJA MINERALNA 0,5","OLIMPIJA MINERALNA 0,5",PIĆE,1.0,KOM,,,OSTALO,PIĆE
,,,,,,,OSTALO,
"OLIMPIJA MINERALNA 0,5_D","OLIMPIJA MINERALNA 0,5",PIĆE,1.0,KOM,,,OSTALO,PIĆE
,,,,,,,OSTALO,
"OLIMPIJA NATURALNA 0,5_D","OLIMPIJA NATURALNA 0,5",PIĆE,1.0,KOM,,,OSTALO,PIĆE
,,,,,,,OSTALO,
GARLIC SAUCE,GARLIC SAUCE DIP,OSTALO,1.0,KOM,0.22,0.22,SOS,OSTALO
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
GARLIC SAUCE D,GARLIC SAUCE DIP,OSTALO,1.0,KOM,0.22,0.22,SOS,OSTALO
,,,,,,,OSTALO,
KUPON 1,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
"OLIMPIJA NATURALNA 0,5","OLIMPIJA NATURALNA 0,5",PIĆE,1.0,KOM,,,OSTALO,PIĆE
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
JALAPENO,,,,KG,,,OSTALO,
,,,,,,,OSTALO,
BBQ SAUCE D,BBQ SOS,OSTALO,1.0,KOM,0.21,0.21,SOS,OSTALO
,,,,,,,OSTALO,
,,,,,,1.699474,OSTALO,
,,,,,,,OSTALO,
,Wooden sticks KFC,OSTALO,1.0,KOM,0.0,0.0,AMBALAŽA,OSTALO
,,,,,,2.13885,OSTALO,
,,,,,,,OSTALO,
BBQ SAUCE,BBQ SOS,OSTALO,1.0,KOM,0.21,0.21,SOS,OSTALO
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,Wooden sticks KFC,OSTALO,1.0,KOM,0.0,0.0,AMBALAŽA,OSTALO
,,,,,,2.38125,OSTALO,
,,,,,,,OSTALO,
"COCA COLA ZERO 0,33","COCA COLA ZERO 0,33",,1.0,KOM,,,OSTALO,
,,,,,,,OSTALO,
"COCA COLA ZERO 0,33 D","COCA COLA ZERO 0,33",,1.0,KOM,,,OSTALO,
,,,,,,,OSTALO,
"FANTA 0,33","FANTA 0,33",,1.0,KOM,,,OSTALO,
,,,,,,,OSTALO,
"FANTA 0,33 D","FANTA 0,33",,1.0,KOM,,,OSTALO,
,,,,,,,OSTALO,
FRIES W/ KENTUCKY GOLD SAUCE,,,,,,,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,,,,,,0.45313000000000003,OSTALO,
,,,,,,,OSTALO,
KENTUCKY GOLD SAUCE,,,,,,,OSTALO,
,,,,,,,OSTALO,
KETCHUP,KEČAP,,1.0,KOM,0.07,0.07,OSTALO,
,,,,,,,OSTALO,
KETCHUP D,KEČAP,,1.0,KOM,0.07,0.07,OSTALO,
,,,,,,,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,2.473159749999999,OSTALO,
,,,,,,,OSTALO,
,Wooden sticks KFC,OSTALO,1.0,KOM,0.0,0.0,AMBALAŽA,OSTALO
,,,,,,2.5388499999999996,OSTALO,
,,,,,,,OSTALO,
MAYONNAISE,MAJONEZA,,1.0,KOM,0.11,0.11,OSTALO,
,,,,,,,OSTALO,
MAYONNAISE D,MAJONEZA,,1.0,KOM,0.11,0.11,OSTALO,
,,,,,,,OSTALO,
SPICY TOMATO SALSA,SALSA,,1.0,KOM,0.33,0.33,OSTALO,
,,,,,,,OSTALO,
SPICY TOMATO SALSA D,SALSA,,1.0,KOM,0.33,0.33,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,2.44460725,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
,,,,,,,OSTALO,
BEZ DODATAKA,,,,,,,OSTALO,
