PROIZVOD,SASTOJAK,KATEGORIJA,KOLICINA,JM,CIJENA,UKUPNO,NEW_KATEGORIJA,OLD_KATEGORIJA
,Smoky BBQ 1kg,OSTALO,0.0192,KG,8.76,0.168192,SOS,OSTALO
,,,,,,4.262033,OSTALO,
GRANDER H&S MENU,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Onion rings-paket,POVRĆE,0.0334,KG,7.13,0.238142,SIDES/DODACI,POVRĆE
,Smoky BBQ 1kg,OSTALO,0.0192,KG,8.76,0.168192,SOS,OSTALO
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,3.64594925,OSTALO,
GRANDER HS MENU D,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Onion rings-paket,POVRĆE,0.0334,KG,7.13,0.238142,SIDES/DODACI,POVRĆE
,Smoky BBQ 1kg,OSTALO,0.0192,KG,8.76,0.168192,SOS,OSTALO
,,,,,,4.2334805,OSTALO,
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Smoky BBQ 1kg,OSTALO,0.02,KG,8.76,0.1752,SOS,OSTALO
,,,,,,2.902156749999999,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Smoky BBQ 1kg,OSTALO,0.02,KG,8.76,0.1752,SOS,OSTALO
,,,,,,3.489687999999999,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,2.51069875,OSTALO,
CRISPY STRIPS MEDIUM MENU D,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,3.19823,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,1.90098235,OSTALO,
HOT WINGS MEDIUM MENU D,Small chicken box mali - bijeli,MESO,1.0,KOM,0.15,0.15,AMBALAŽA,MESO
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,L,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,2.588376,OSTALO,
14 STRIPS M BUCKET D,,,,,,7.382388,OSTALO,
,,,,,,7.452388,OSTALO,
7 STRIPS S BUCKET,Fries Bucket KFC,AMBALAŽA,1.0,KOM,0.19,0.19,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.08909,KG,2.58,0.2298522,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00055,KG,1.38,0.000759,ZAČINI,OSTALO
,,,,,,4.0483156,OSTALO,
7 STRIPS S BUCKET D,Fries Bucket KFC,AMBALAŽA,1.0,KOM,0.19,0.19,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.08909,KG,2.58,0.2298522,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00055,KG,1.38,0.000759,ZAČINI,OSTALO
,,,,,,4.148315599999999,OSTALO,
,,,,,,4.3962398,OSTALO,
,,,,,,4.4662398,OSTALO,
7 WINGS S BUCKET,Fries Bucket KFC,AMBALAŽA,1.0,KOM,0.19,0.19,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.08909,KG,2.58,0.2298522,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00055,KG,1.38,0.000759,ZAČINI,OSTALO
,,,,,,2.5552415,OSTALO,
7 WINGS S BUCKET D,Fries Bucket KFC,AMBALAŽA,1.0,KOM,0.19,0.19,SIDES/DODACI,AMBALAŽA
,KFC Fries 9/9- paket,OSTALO,0.08909,KG,2.58,0.2298522,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.00055,KG,1.38,0.000759,ZAČINI,OSTALO
,,,,,,2.6552415,OSTALO,
,,,,,,8.409377000000001,OSTALO,
,,,,,,8.709377,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.297,,2.58,0.7662599999999999,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,2.0,,0.01,0.02,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.0018,,1.38,0.002484,ZAČINI,OSTALO
,,,,,,6.900529999999999,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.297,,2.58,0.7662599999999999,SIDES/DODACI,OSTALO
,Fries Bag Small KFC,AMBALAŽA,2.0,,0.01,0.02,SIDES/DODACI,AMBALAŽA
,Salt 1 kg KFC,OSTALO,0.0018,,1.38,0.002484,ZAČINI,OSTALO
,,,,,,7.070529999999999,OSTALO,
