PROIZVOD,SASTOJAK,KATEGORIJA,KOLICINA,JM,CIJENA,UKUPNO
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,"Tomatoes( whole, washed, packed)",POVRĆE,0.0354,KG,6.5,0.2301
,"TORTILLA  10,5'' FROZEN",PECIVO,1.0,KOM,0.32,0.32
,,,,,,2.433436
BOXMASTER H&S,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21
,"MAYONNAISE 4X0,95",SOS,0.0288,KG,6.22,0.179136
,Pileće Meso  Fillet,MESO,1.0,KOM,0.94,0.94
,HOT AND SPICY MARINADE,MARINADA,0.00302,KG,7.5,0.02265
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0264,KG,0.97,0.025608
,HOT SPICY BREADING 60X198G,BRAŠNO/PANIRANJE,0.00041,KG,6.75,0.0027675
,Shortening KFC,ULJE,0.0192,KG,3.44,0.066048
,Boxmaster pakovanje,AMBALAŽA,1.0,KOM,0.13,0.13
,Sliced cheese KFC,SIR,1.0,KOM,0.14,0.14
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0202,KG,5.87,0.118574
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,"Tomatoes( whole, washed, packed)",POVRĆE,0.0354,KG,6.5,0.2301
,"TORTILLA  10,5'' FROZEN",PECIVO,1.0,KOM,0.32,0.32
,,,,,,2.4048835
BOXMASTER H&S D,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21
,"MAYONNAISE 4X0,95",SOS,0.0288,KG,6.22,0.179136
,Pileće Meso  Fillet,MESO,1.0,KOM,0.94,0.94
,HOT AND SPICY MARINADE,MARINADA,0.00302,KG,7.5,0.02265
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0264,KG,0.97,0.025608
,HOT SPICY BREADING 60X198G,BRAŠNO/PANIRANJE,0.00041,KG,6.75,0.0027675
,Shortening KFC,ULJE,0.0192,KG,3.44,0.066048
,Boxmaster pakovanje,AMBALAŽA,1.0,KOM,0.13,0.13
,Sliced cheese KFC,SIR,1.0,KOM,0.14,0.14
,"Iceberg ( washed, cut, packed)",POVRĆE,0.0202,KG,5.87,0.118574
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,"Tomatoes( whole, washed, packed)",POVRĆE,0.0354,KG,6.5,0.2301
,"TORTILLA  10,5'' FROZEN",PECIVO,1.0,KOM,0.32,0.32
,,,,,,2.4048835
MEGA ZINGER BURGER,"MAYONNAISE 4X0,95",SOS,0.0192,KG,6.22,0.119424
,Pileće Meso  Fillet,MESO,2.0,KOM,0.94,1.88
,HOT AND SPICY MARINADE,MARINADA,0.00604,KG,7.5,0.0453
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0528,KG,0.97,0.051216
,HOT SPICY BREADING 60X198G,BRAŠNO/PANIRANJE,0.00082,KG,6.75,0.005535
